구분,26.1Q,25.1Q
지배기억소유지분 분기순이익,"195,986,497,675 ","83,010,605,605 "
가중평균유통보통주식수,"37,481,574 ","37,582,975 "
보통주기본주당이익,"5,229 ","2,209 "
,,
,,
,"104,194,590,304 ",
,,
구분,26.1Q,25.1Q
지배기억소유지분 분기순이익,"91,791,907,371 ","83,010,605,605 "
가중평균유통보통주식수,"37,481,574 ","37,582,975 "
보통주기본주당이익,"2,449 ","2,209 "
,,
투자부동산처분이익,"104,194,590,304 ",
