자본변동내역,,
,,
1. 당기순손익,,"+1,977억"
,① 연결당기순이익,"+1,976억"
,② 확정급여제도 재측정요소,+1억
2. 기타자본거래,,"△1,012억"
,① 연차배당,"△1,012억"
3. 기타포괄손익,,+59억
,① 해외사업장환산손실,+59억
자본총계 변동(1+2+3),,"+1,024억"
