,SAP 기표 기준,,,,,,,,,,,,,,,,,
,차입처,지급보증 여부,차입한도,한도만기,전기이월,이자율,만기일,차입금액,이자율,차입일,만기일,상환금액,상환일,기말잔액,,,,
,"중국은행 상해 Hengshan Road Branch

,,,,,,,,"40,000,000 ",2.30%,2025.11.27,2026.08.26,,,"40,000,000 ",,,,
,,,,,,,,,,,,,,0 ,,,,
,,,,,,,,,,,,,,0 ,,,,
https://portal.fnf.co.kr/approval/viewer?doc=17562648396875,"KB국민은행(중국) 상해분행

国民银行上海分行
KB Kookmin Bank Shanghai Branch",O," 140,000,000 ",25.9.26~26.9.26,"80,000,000 ",,,,,,,"(80,000,000)",2025.02.26,0 ,,,,
,,,,,"40,000,000 ",,,,,,,"(40,000,000)",2025.02.26,0 ,,,,
,,,,,,,,"110,000,000 ",2.20%,2025.08.28,2025.09.26,"(110,000,000)",2025.09.28,0 ,,,,
,,,,,,,,"140,000,000 ",2.25%,2025.9.26,2025.12.01,"(140,000,000)",2025.12.09,0 ,,,,
,,,,,,,,"140,000,000 ",2.25%,2025.12.09,2026.03.09,,,"140,000,000 ",,,,
,,,,,,,,,,,,,,0 ,,,,
,,,,,,,,,,,,,,0 ,,,,
,,,,,,,,,,,,,,0 ,,,,
,합계,," 800,000,000 ",,"500,000,000 ",,,"2,395,685,078 ",,,,"(1,986,000,000)",,"909,685,078 ",GL잔액도 확인,,,
,※이자율은 참고용 (실제아님),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2026-01-07,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
