26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
Ⅳ.판매비와관리비,"142,989,824,380","53,146,696,908","13,865,423,278","7,997,444",0,"838,198,205","4,863,955,081","215,712,095,296",,,"214,277,662,540",,"214,277,662,540",Ⅳ.판매비와관리비,,,,,,,,,,,,,,Ⅳ.판매비와관리비,,,,,,,,,,,,,,Ⅳ.판매비와관리비,,,,,,,,,,,,,
급여,"7,775,599,093","8,400,295,161","2,557,614,352",0,0,"432,857,338","996,095,663","20,162,461,607","129,022,563",,"20,291,484,170",,"20,291,484,170",급여,,,,,,,,,,,,,,급여,,,,,,,,,,,,,,급여,,,,,,,,,,,,,
퇴직급여,"973,513,459",0,0,0,0,"37,806,783",0,"1,011,320,242",,,"1,011,320,242",,"1,011,320,242",퇴직급여,,,,,,,,,,,,,,퇴직급여,,,,,,,,,,,,,,퇴직급여,,,,,,,,,,,,,
복리후생비,"1,045,280,348","3,032,814,329","45,903,776",0,0,"45,799,710","103,838,717","4,273,636,880",0,"2,617,724","4,271,019,156",,"4,271,019,156",복리후생비,,,,,,,,,,,,,,복리후생비,,,,,,,,,,,,,,복리후생비,,,,,,,,,,,,,
여비교통비,"216,271,417","115,735,038","28,418,981",0,0,"19,875,849","15,203,159","395,504,444",,,"395,504,444",,"395,504,444",여비교통비,,,,,,,,,,,,,,여비교통비,,,,,,,,,,,,,,여비교통비,,,,,,,,,,,,,
통신비,"163,649,819","15,967,689","18,730,488","84,002",0,"6,644,303",0,"205,076,301",,,"205,076,301",,"205,076,301",통신비,,,,,,,,,,,,,,통신비,,,,,,,,,,,,,,통신비,,,,,,,,,,,,,
수도광열비,"591,325,086","79,573,156","102,522,687",0,0,"5,107,837","1,513,085","780,041,851",,,"780,041,851",,"780,041,851",수도광열비,,,,,,,,,,,,,,수도광열비,,,,,,,,,,,,,,수도광열비,,,,,,,,,,,,,
세금과공과,"639,023,562","511,029,059",0,0,0,"17,338,070","135,417,237","1,302,807,928",,,"1,302,807,928",,"1,302,807,928",세금과공과,,,,,,,,,,,,,,세금과공과,,,,,,,,,,,,,,세금과공과,,,,,,,,,,,,,
임차료,"5,803,620,548","981,980,276","1,884,482,598",0,0,0,0,"8,670,083,422","15,661,816",,"8,685,745,238",,"8,685,745,238",임차료,,,,,,,,,,,,,,임차료,,,,,,,,,,,,,,임차료,,,,,,,,,,,,,
대손상각비,"-52,789,534",4055404,0,0,0,0,"32,845,091","-15,889,039",,,"-15,889,039",,"-15,889,039",대손상각비,,,,,,,,,,,,,,대손상각비,,,,,,,,,,,,,,대손상각비,,,,,,,,,,,,,
보험료,"139,050,593","6,519,372","125,643,741",0,0,"4,482,400","8,644,254","284,340,360",,,"284,340,360",,"284,340,360",보험료,,,,,,,,,,,,,,보험료,,,,,,,,,,,,,,보험료,,,,,,,,,,,,,
광고선전비,"9,216,171,037","17,538,281,598","778,951,912",0,0,0,"1,239,415,128","28,772,819,675",,316364,"28,772,503,311",,"28,772,503,311",광고선전비,,,,,,,,,,,,,,광고선전비,,,,,,,,,,,,,,광고선전비,,,,,,,,,,,,,
차량유지비,"106,145,544","29,361,569",0,0,0,"5,956,124",0,"141,463,237",,,"141,463,237",,"141,463,237",차량유지비,,,,,,,,,,,,,,차량유지비,,,,,,,,,,,,,,차량유지비,,,,,,,,,,,,,
교육훈련비,0,0,0,0,0,0,0,0,,,0,,0,교육훈련비,,,,,,,,,,,,,,교육훈련비,,,,,,,,,,,,,,교육훈련비,,,,,,,,,,,,,
접대비,"117,526,090","16,067,401",0,0,0,"5,354,050",0,"138,947,541",,,"138,947,541",,"138,947,541",접대비,,,,,,,,,,,,,,접대비,,,,,,,,,,,,,,접대비,,,,,,,,,,,,,
운반비,0,"6,071,167,776","1,217,194,988",0,0,0,"480,332,985","7,768,695,749",,,"7,768,695,749",,"7,768,695,749",운반비,,,,,,,,,,,,,,운반비,,,,,,,,,,,,,,운반비,,,,,,,,,,,,,
소모품비,"1,318,979,827","803,268,382","190,825,164","349,101",0,"2,089,144","407,397,012","2,722,908,630",,30811228,"2,692,097,402",,"2,692,097,402",소모품비,,,,,,,,,,,,,,소모품비,,,,,,,,,,,,,,소모품비,,,,,,,,,,,,,
지급수수료,"102,340,791,926","9,663,920,393","3,211,853,305","7,530,584",0,"38,355,425","1,309,583,185","116,572,034,818",,"2,116,567,979","114,455,466,839",,"114,455,466,839",지급수수료,,,,,,,,,,,,,,지급수수료,,,,,,,,,,,,,,지급수수료,,,,,,,,,,,,,
관리수수료,0,0,0,0,0,0,0,0,,,0,,0,관리수수료,,,,,,,,,,,,,,관리수수료,,,,,,,,,,,,,,관리수수료,,,,,,,,,,,,,
영업운영비,0,0,0,0,0,0,0,0,,,0,,0,영업운영비,,,,,,,,,,,,,,영업운영비,,,,,,,,,,,,,,영업운영비,,,,,,,,,,,,,
감가상각비,"9,721,673,377","5,769,181,303","3,550,879,251",0,0,"162,775,648","125,077,632","19,329,587,211",,,"19,329,587,211",,"19,329,587,211",감가상각비,,,,,,,,,,,,,,감가상각비,,,,,,,,,,,,,,감가상각비,,,,,,,,,,,,,
무형자산상각비,"2,862,425,581","107,479,002",12228073,0,0,"10,371,782","8,591,933","3,001,096,371","571,196,160",,"3,572,292,531",,"3,572,292,531",무형자산상각비,,,,,,,,,,,,,,무형자산상각비,,,,,,,,,,,,,,무형자산상각비,,,,,,,,,,,,,
