26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
 중단사업손익,0,0,0,0,0,,0,0,,,0,,0, 중단사업손익,,,,,,,,,,,,,, 중단사업손익,,,,,,,,,,,,,, 중단사업손익,,,,,,,,,,,,,
Ⅹ.당기순이익,"160,204,599,828","7,083,796,659","795,073,706","18,388,574",0,"-1,331,590,253","-1,666,554,746","165,103,713,768","421,282,022,894","452,164,806,800","195,986,497,675",,"195,986,497,675",Ⅹ.당기순이익,,,,,,,,,,,,,,Ⅹ.당기순이익,,,,,,,,,,,,,,Ⅹ.당기순이익,,,,,,,,,,,,,
   지배지분,"160,204,599,828","7,083,796,659","795,073,706","18,388,574",0,"-1,331,590,253","-1,666,554,746","165,103,713,768",0,,"195,986,497,675",,"195,986,497,675",   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,
   비지배지분,0,0,0,0,0,,0,0,0,,0,,0,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,
기타포괄손익:,"124,347,537","7,892,424,165","313,745,345","4,885,398",0,"6,499,193","4,310,269,351","12,652,170,989",,,"2,728,643,264",,"2,728,643,264",기타포괄손익:,,,,,,,,,,,,,,기타포괄손익:,,,,,,,,,,,,,,기타포괄손익:,,,,,,,,,,,,,
매도가능금융자산평가손익,,0,0,0,,,0,0,,,0,,0,매도가능금융자산평가손익,,,,,,,,,,,,,,매도가능금융자산평가손익,,,,,,,,,,,,,,매도가능금융자산평가손익,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
자산재평가이익,,0,0,0,,,0,0,,,0,,0,자산재평가이익,,,,,,,,,,,,,,자산재평가이익,,,,,,,,,,,,,,자산재평가이익,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
보험수리적손익,"168,037,212",0,0,0,,"8,332,299",0,"176,369,511",,,"176,369,511",,"176,369,511",보험수리적손익,,,,,,,,,,,,,,보험수리적손익,,,,,,,,,,,,,,보험수리적손익,,,,,,,,,,,,,
법인세효과,"-43,689,675",0,0,0,,"-1,833,106",0,"-45,522,781",,,"-45,522,781",,"-45,522,781",법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,"124,347,537",0,0,0,0,"6,499,193",0,"130,846,730",,,"130,846,730",,"130,846,730",법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
지분법자본변동,,0,0,0,,,0,0,,,0,,0,지분법자본변동,,,,,,,,,,,,,,지분법자본변동,,,,,,,,,,,,,,지분법자본변동,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
지분법이익잉여금,,0,0,0,,,0,0,,,,,0,지분법이익잉여금,,,,,,,,,,,,,,지분법이익잉여금,,,,,,,,,,,,,,지분법이익잉여금,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
해외사업장환산차이,,"7,892,424,165","313,745,345","4,885,398",,,"4,310,269,351","12,521,324,259","22,788,279,570","12,864,751,845","2,597,796,534",,"2,597,796,534",해외사업장환산차이,,,,,,,,,,,,,,해외사업장환산차이,,,,,,,,,,,,,,해외사업장환산차이,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,"7,892,424,165","313,745,345","4,885,398",0,0,"4,310,269,351","12,521,324,259",,,"2,597,796,534",,"2,597,796,534",법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
총포괄이익,"160,328,947,365","14,976,220,824","1,108,819,051","23,273,972",0,"-1,325,091,060","2,643,714,605","177,755,884,757",,,"198,715,140,939",,"198,715,140,939",총포괄이익,,,,,,,,,,,,,,총포괄이익,,,,,,,,,,,,,,총포괄이익,,,,,,,,,,,,,
   지배지분,"160,328,947,365","14,976,220,824","1,108,819,051","23,273,972",0,"-1,325,091,060","2,643,714,605","177,755,884,757",0,0,"198,715,140,939",,"198,715,140,939",   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,
   비지배지분,0,0,0,0,0,0,0,0,0,,0,,0,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,
