26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 1분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2025년 누적,2026년 전분기 누적,2026년 2분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 3분기,2025년 누적,2025년 전분기 누적,2025년 당분기,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기,2025년 누적,2025년 전분기 누적,2025년 당분기
물류원가,0,0,0,0,0,0,0,0,,,0,,0,0,,0,물류원가,,,,,,,,,,,,,,,,,물류원가,,,,,,,,,,,,,,,,,물류원가,,,,,,,,,,,,,,,,
기타매출원가,"588,571,683",0,0,"115,046,874",0,"1,530,162,809","-276,277,585","1,957,503,781",0,"115,046,874","1,842,456,907",,"1,842,456,907","3,594,624,662",,"3,594,624,662",기타매출원가,,,,,,,,,,,,,,,,,기타매출원가,,,,,,,,,,,,,,,,,기타매출원가,,,,,,,,,,,,,,,,
Ⅲ.매출총이익,"251,676,932,150","54,762,255,731","10,991,534,030","18,711,695",0,"-768,845,109","6,539,128,485","323,219,716,982",,,"329,733,300,873",,"329,733,300,874","332,483,971,441",,"332,483,971,441",Ⅲ.매출총이익,,,,,,,,,,,,,,,,,Ⅲ.매출총이익,,,,,,,,,,,,,,,,,Ⅲ.매출총이익,,,,,,,,,,,,,,,,
Ⅳ.판매비와관리비,"139,699,386,898","48,651,782,890","10,988,975,260","6,215,987",0,"768,871,604","5,542,988,580","205,658,221,219",,,"206,116,912,814",,"206,116,912,814","202,272,969,941",,"202,272,969,941",Ⅳ.판매비와관리비,,,,,,,,,,,,,,,,,Ⅳ.판매비와관리비,,,,,,,,,,,,,,,,,Ⅳ.판매비와관리비,,,,,,,,,,,,,,,,
급여,"8,628,580,129","7,850,637,692","2,109,398,123",0,0,"390,823,774","1,088,554,272","20,067,993,990","108,247,168",,"20,176,241,158",,"20,176,241,158","18,472,184,788",,"18,472,184,788",급여,,,,,,,,,,,,,,,,,급여,,,,,,,,,,,,,,,,,급여,,,,,,,,,,,,,,,,
퇴직급여,"1,126,853,049",0,"300,714,660",0,0,"34,766,007",0,"1,462,333,716",,,"1,462,333,716",,"1,462,333,716","1,186,177,343",,"1,186,177,343",퇴직급여,,,,,,,,,,,,,,,,,퇴직급여,,,,,,,,,,,,,,,,,퇴직급여,,,,,,,,,,,,,,,,
복리후생비,"1,392,752,542","2,811,620,235","46,223,843",0,0,"44,699,370","130,906,441","4,426,202,431",0,"2,472,421","4,423,730,010",,"4,423,730,010","3,795,866,461",,"3,795,866,461",복리후생비,,,,,,,,,,,,,,,,,복리후생비,,,,,,,,,,,,,,,,,복리후생비,,,,,,,,,,,,,,,,
여비교통비,"237,380,279","99,639,558","26,682,171",0,0,"8,716,739","48,214,788","420,633,535",,,"420,633,535",,"420,633,535","528,325,585",,"528,325,585",여비교통비,,,,,,,,,,,,,,,,,여비교통비,,,,,,,,,,,,,,,,,여비교통비,,,,,,,,,,,,,,,,
통신비,"154,343,718","13,778,595","18,494,115","27,373",0,"5,857,514",0,"192,501,315",,,"192,501,315",,"192,501,315","186,053,416",,"186,053,416",통신비,,,,,,,,,,,,,,,,,통신비,,,,,,,,,,,,,,,,,통신비,,,,,,,,,,,,,,,,
수도광열비,"613,770,457","90,942,305","92,927,850",0,0,"5,521,027","2,967,334","806,128,973",,,"806,128,973",,"806,128,973","687,488,923",,"687,488,923",수도광열비,,,,,,,,,,,,,,,,,수도광열비,,,,,,,,,,,,,,,,,수도광열비,,,,,,,,,,,,,,,,
세금과공과,"746,074,062","621,246,640",0,"114,200",0,"16,852,453","147,324,187","1,531,611,542",,,"1,531,611,542",,"1,531,611,542","1,505,640,485",,"1,505,640,485",세금과공과,,,,,,,,,,,,,,,,,세금과공과,,,,,,,,,,,,,,,,,세금과공과,,,,,,,,,,,,,,,,
